Key,Heat,Int0,Int1,Int2,Int3,Int4,Int5,Int6,Int7,Int8,Int9
JOFL,1,,16.5,25.5,,,,,,,
AAGO,1,,,19.5,,,,,,9.0,
GRLO,1,,,,,,,14.0,,,
ANMA,1,,,,8.0,,,,,,
MAHE,1,,,11.5,,,,23.5,,17.0,
KORO,1,,,8.5,,,5.0,,,,
NAFL,1,,,,,,8.5,,5.5,,
SHDO,1,,21.0,,,,,,,,
EMER,2,,,,,,6.0,,,,
KAHA,2,,,,11.0,,23.0,,,,
IAWA,2,,,,12.5,,,,,,
KOCH,2,,,,,,,,,,
JOMO,2,,,,,,,,,14.5,
ROCL,2,,9.5,,,,,29.0,,,
MARO,2,,,,,,,,,23.0,
MIOS,2,,5.5,,,24.5,5.5,,,,
KALE,3,,24.5,,,,,27.5,23.5,24.5,
LAMC,3,,30.0,,,13.5,,12.0,18.0,,
ELOL,3,,,,20.0,,,6.0,23.5,,
JAMA,3,,,,4.5,15.0,,13.5,17.0,,
TASH,3,,,,,12.5,,,25.0,,
NIVO,3,19.0,,,18.5,,,,4.5,,18.5
KEKE,3,,,,,,,,4.0,,
JUDU,3,,,,,,,,,,
EZLA,4,5.5,,21.0,,,20.5,,,30.0,
CHOW,4,,,,,,,20.5,,,
KEMA,4,,,,5.5,5.5,,15.5,,22.5,
LUCH,4,9.0,,,,,18.5,,,28.0,
PEME,4,,18.5,,,,,25.5,,,
MAHO,4,,,,,3.0,,15.5,,,
TISM,4,,,,,,,12.0,,,
MAAD,4,,,,,,,12.0,,,
BIKE,5,25.5,,21.0,,,16.5,,,27.0,
JAMI,5,,27.5,,,,,,,,
GRBA,5,,13.5,21.0,,6.0,,,,,
LUSH,5,,,,18.0,,30.0,,,,
TYLA,5,9.0,5.0,,,,20.0,14.0,,,
RANA,5,16.0,,12.0,,6.0,,,,,14.0
MIHO,5,,12.5,,,,,,8.5,,
PAAL,5,,17.0,,,,,,6.0,,
