Key,Heat,Int0,Int1,Int2,Int3,Int4,Int5,Int6,Int7,Int8,Int9,Int10
JOFL,1,28.7,,30.0,21.0,,,,,,,
AAGO,1,,,,,26.5,,,8.5,,7.0,
GRLO,1,16.5,,,,,,,,,,
ANMA,1,,,,,,,,,,,
KALE,1,,,,,24.7,,,20.6,,,
LAMC,1,,21.5,,,,23.8,,,,,
ELOL,1,,,,18.5,,,,,,22.5,
JAMA,1,25.5,,,,15.5,,,,,22.7,
MAHE,2,,,,,24.0,,27.0,29.6,,25.7,
KORO,2,,,18.5,,,,,22.5,,,
NAFL,2,10.0,,,,8.5,,,,14.8,16.7,
EMER,2,,,,,,,,,10.7,3.0,
TASH,2,12.0,16.0,,,,6.0,25.3,,,,
NIVO,2,,,13.5,,18.0,,,3.5,,,
EZLA,2,15.0,,21.5,,,,,,4.0,24.0,
CHOW,2,,,,,9.0,,,,,,
SHDO,3,,,,,24.0,,,20.8,,,
KAHA,3,,,16.5,,,11.5,,,,14.5,
KEKE,3,,10.5,,,,,,,7.5,11.2,9.0
JUDU,3,,9.5,,,,,,,,8.0,
KEMA,3,13.0,,,,28.5,21.5,,,,,
LUCH,3,,,,,22.0,,,,21.7,,
PEME,3,,,,,,,,22.1,,,
MAHO,3,,,10.0,,15.5,,,,,,
IAWA,4,,,,22.0,,,,5.0,,,14.0
KOCH,4,,,,9.5,6.0,,,,5.0,18.5,
JOMO,4,,,,,,,,,,,
TISM,4,18.0,,6.5,14.5,,,6.5,,,,
MAAD,4,,,16.0,,,,9.0,,,,
BIKE,4,,,22.8,,10.5,,,19.7,,27.0,
JAMI,4,,,,16.5,,,,20.6,,18.3,
GRBA,4,,,7.5,,21.8,,9.0,18.5,,,
ROCL,5,,20.5,,9.5,,,,20.5,,17.0,
MARO,5,,,,,,,,,19.8,,19.0
MIOS,5,,,,,,,7.0,11.5,,,
LUSH,5,,29.1,,30.0,,,,,,,
TYLA,5,9.0,30.0,,,,13.5,,,,16.5,
RANA,5,,,17.5,18.5,,24.0,,,,,
MIHO,5,,,,22.5,,,,,,,
PAAL,5,,,,10.5,,,,12.0,,,
